product_id;title;description;price_eur;condition;kg_co2_saved;image_url;category_id;seller_id;created_at;available
45ac0239-fe9d-4818-b442-10bc9eda8d63;Reloj de pulsera;Descripción de ejemplo para Reloj de pulsera en excelente estado.;65,00;como nuevo;6,22;https://images.unsplash.com/photo-1524592094714-0f0654e20314?q=80&w=800&auto=format&fit=crop;bd572ce9-3394-4310-89f2-5f6f996c391f;cf5826ce-8820-476d-91d1-b8c7ff036e4b;2024-04-12;true
0313ad82-39c9-42d1-871b-06888f6c1e1d;Sofá de 3 plazas;Descripción de ejemplo para Sofá de 3 plazas en excelente estado.;280,00;como nuevo;8,24;https://images.unsplash.com/photo-1555041469-a586c61ea9bc?q=80&w=800&auto=format&fit=crop;99e49476-3326-4fc0-8395-3c4aa5ebedc9;4db8c278-8988-4a14-a77f-4a4aa091d6f8;2025-03-18;true
691044d4-7e64-4e78-9d32-db7ca9db563b;Cámara réflex #929;Descripción de ejemplo para Cámara réflex #929 en excelente estado.;320,00;como nuevo;50,69;https://images.unsplash.com/photo-1516035069371-29a1b244cc32?q=80&w=800&auto=format&fit=crop;4d6d0688-e653-4f48-8a4f-770acc0b4c6a;f3d73773-47d1-4f1d-825c-cf7222508d00;2025-05-29;true
dfcd7787-181a-47ac-bb0d-2a0b1dc349be;Reloj de pulsera;Descripción de ejemplo para Reloj de pulsera en excelente estado.;90,00;bueno;56,49;https://images.unsplash.com/photo-1524592094714-0f0654e20314?q=80&w=800&auto=format&fit=crop;bd572ce9-3394-4310-89f2-5f6f996c391f;0b574b63-38aa-4466-9631-1c204614576f;2025-09-08;true
ba1b786b-02af-4a15-a32c-f29e5c35cdd4;Mesa de comedor #190;Descripción de ejemplo para Mesa de comedor #190 en excelente estado.;140,00;aceptable;58,47;https://images.unsplash.com/photo-1577140917170-285929fb55b7?q=80&w=800&auto=format&fit=crop;99e49476-3326-4fc0-8395-3c4aa5ebedc9;fcce37ba-3373-4182-9d46-0afb5a9d452d;2024-01-14;true
14e57282-501e-42f5-9644-fda09c751dab;Taladro inalámbrico;Descripción de ejemplo para Taladro inalámbrico en excelente estado.;55,00;nuevo;4,25;https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop;3c9f4130-6efd-455d-884a-dafdaee6a4ff;0b574b63-38aa-4466-9631-1c204614576f;2024-12-07;false
a88860dd-2e60-4023-8b4e-e35e514b176f;Mesa de comedor;Descripción de ejemplo para Mesa de comedor en excelente estado.;120,00;bueno;5,75;https://images.unsplash.com/photo-1577140917170-285929fb55b7?q=80&w=800&auto=format&fit=crop;99e49476-3326-4fc0-8395-3c4aa5ebedc9;1e750c7e-8c26-4f73-9f1e-371fb29aea09;2024-08-26;false
3b32f86a-40db-4067-8be9-bcd00daea726;Guitarra acústica;Descripción de ejemplo para Guitarra acústica en excelente estado.;150,00;bueno;48,16;https://images.unsplash.com/photo-1510915361894-db8b60106cb1?q=80&w=800&auto=format&fit=crop;adc8f222-aa5d-41c5-b1db-8f39e8200b5d;68ddd7e7-de65-42f7-92e0-99d862939bf5;2025-12-28;true
82908602-5773-4369-96c3-19314d3b9394;Cuna para bebé #226;Descripción de ejemplo para Cuna para bebé #226 en excelente estado.;85,00;bueno;1,03;https://images.unsplash.com/photo-1749703827003-8e5046941847?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;99e49476-3326-4fc0-8395-3c4aa5ebedc9;11b37d13-43ea-42fe-bcd6-20a2e5640a83;2023-06-16;true
f0585b12-9695-479f-bd29-a72f4c1bd9f8;Auriculares Bluetooth #80;Descripción de ejemplo para Auriculares Bluetooth #80 en excelente estado.;40,00;nuevo;9,2;https://images.unsplash.com/photo-1505740420928-5e560c06d30e?q=80&w=800&auto=format&fit=crop;4d6d0688-e653-4f48-8a4f-770acc0b4c6a;a4cc673a-1774-467b-8f2d-199dca300f6b;2025-01-02;true
